#Jade,et,al.
#name,lat,lon,ddNorth,sEast,dUp,sn,se,su,hangle,hnorm,norm
DGPR,92.97,13.16,-2.68,-3.96,0.59,0.003,0.006,0.014,-145.9111284,4.781631521,4.817893731
CHAH,92.72,11.69,-1.13,-3.26,-0.89,0.003,0.007,0.02,-160.8823657,3.450289843,3.563228873
HAVE,92.99,12.03,-0.94,-1.26,0.006,0.004,0.01,0.025,-143.2758928,1.572005089,1.572016539
CARN,92.8,9.22,-2.95,-5.76,-1.11,0.003,0.006,0.012,-152.8806186,6.471483601,6.565988121
#Gahalaut,et,al.
#name,lat,lon,dNorth,dEast,dUp,sn,se,su,hangle,hnorm,norm
AB,93.027,13.278,-2.71,-3.9,0.49,0.01,0.04,0.05,-145.2056529,4.749115707,4.774327178
EI,93.047,13.631,-2.51,-3.62,0.96,0.02,0.04,0.07,-145.2637153,4.405053916,4.508447626
LI,92.932,12.376,-1.1,-1.96,-0.48,0.01,0.02,0.06,-150.6977925,2.247576473,2.298260212
UG,92.773,12.216,-1.66,-2.39,-0.36,0.01,0.02,0.05,-145.2176763,2.909931271,2.932115277
GG,92.983,12.036,-0.95,-1.36,-0.18,0.02,0.05,0.02,-145.0645682,1.658945448,1.668682115
PB,92.721,11.649,-1.03,-3.07,-0.96,0.01,0.02,0.06,-161.4531455,3.2381785,3.377484271
PI,92.676,11.178,-1.19,-2.91,-0.71,0.01,0.02,0.05,-157.7586434,3.143914757,3.223088581
HB,92.569,10.696,-2.65,-3.27,-0.26,0.01,0.01,0.02,-140.978776,4.208966619,4.216989447
CN,92.804,9.225,-2.95,-5.76,-1.11,0.01,0.01,0.01,-152.8806186,6.471483601,6.565988121
TI,93.124,8.302,-3.06,-5.86,-2.85,0.01,0.02,0.04,-152.4271433,6.610839584,7.199006876
KD,93.549,8.036,-1.72,-3.97,-1.35,0.01,0.02,0.04,-156.5753575,4.326580636,4.532306256
MI,93.541,7.514,-2.84,-4.91,-2.16,0.01,0.02,0.05,-149.954422,5.672186527,6.069538697
CB,93.934,7.004,-2.36,-4.1,-1.6,0.01,0.02,0.03,-150.0748494,4.730708192,4.993956347
#Subarya_et_al,-2006
#site,Long.,Lat.,North,East,Up,sN,sE,sU,hangle,hnorm,norm
BM12,98.9449,2.64259,-0.0198,-0.089,-0.0805,0.0238,0.0666,0.0733,-167.4575602,0.091175874,0.12162767
D962,97.4465,1.68602,-0.027,-0.0332,-0.0535,0.0253,0.0649,0.0558,-140.8801625,0.04279299,0.06850905
D972,96.6245,2.17441,-0.0246,0.01,-0.5714,0.0649,0.0669,0.0669,-67.87805803,0.026554849,0.572016713
JAHE,98.5075,3.14524,-0.0218,-0.2031,0.0053,0.0882,0.1079,0.0899,-173.8735397,0.204266615,0.204335362
K504,95.2435,5.43378,-1.7634,-2.114,-0.1717,0.0882,0.1057,0.0597,-140.166715,2.752921277,2.758270554
K505,95.2716,5.48,-1.7455,-2.0675,-0.0611,0.0873,0.1034,0.0807,-139.8270577,2.705794985,2.706484751
K515,95.4873,5.56851,-1.342,-1.6599,-0.0462,0.0671,0.083,0.0637,-141.0450692,2.134533207,2.135033126
LANG,97.9999,4.42753,-0.0989,-0.3681,-0.0119,0.0426,0.0411,0.0608,-164.9611007,0.381154588,0.381340307
LHOK,97.1585,5.08665,-0.219,-0.5779,0.0765,0.0478,0.0434,0.1054,-159.2453811,0.618004377,0.622721174
MART,98.6823,2.52419,-0.0127,-0.1448,-0.1228,0.024,0.0414,0.0869,-174.9875751,0.145355874,0.190284445
NIND,98.7506,2.72953,-0.0065,-0.1312,-0.4546,0.023,0.0326,0.0916,-177.1637324,0.131360915,0.473198531
PAND,98.8188,1.67586,-0.0355,-0.0411,-0.0264,0.0397,0.0418,0.0277,-139.1812868,0.054308931,0.060385594
PIDI,95.9333,5.3308,-0.9557,-1.3993,0.0354,0.0388,0.0405,0.049,-145.6675354,1.69452146,1.694891188
PISU,99.1472,2.44756,-0.0143,-0.0825,-0.0129,0.0311,0.0277,0.0617,-170.166436,0.083730162,0.084718062
SIPA,99.089,2.10263,-0.0586,-0.1027,-0.1144,0.0631,0.0662,0.0699,-150.2911802,0.118242336,0.164525408
