>	aa
95.213081	1.881591
95.203125	1.890419
95.194473	1.898090
95.179848	1.911065
95.169739	1.920000
95.167969	1.921525
95.154373	1.933227
95.149872	1.937104
95.132812	1.951743
95.113449	1.968363
95.097656	1.981916
95.076584	2.000000
95.072548	2.003498
95.062500	2.012197
95.031967	2.038632
95.027344	2.042638
95.002045	2.064541
94.997307	2.068652
94.992188	2.073087
94.991402	2.073766
94.984215	2.080000
94.973145	2.089829
94.957031	2.104162
94.951706	2.108899
94.921875	2.135444
94.912224	2.144031
94.894279	2.160000
94.886719	2.167009
94.873611	2.179162
94.851562	2.199608
94.835724	2.214292
94.816406	2.232207
94.813759	2.234662
94.807983	2.240000
94.798164	2.249422
94.781250	2.265661
94.779427	2.267414
94.761566	2.284551
94.746094	2.299395
94.724953	2.319679
94.724617	2.320000
94.719124	2.325266
94.710938	2.333082
94.688187	2.354806
94.686218	2.356688
94.675781	2.366643
94.651367	2.389932
94.647377	2.393742
94.640800	2.400000
94.640625	2.400165
94.613777	2.425057
94.605469	2.432763
94.580139	2.456250
94.575943	2.460181
94.570312	2.465459
94.554802	2.480000
94.538155	2.495305
94.535156	2.498065
94.514275	2.517266
94.500000	2.530427
94.499847	2.530581
94.467964	2.560000
94.464844	2.563047
94.462288	2.565548
94.449844	2.577700
94.429688	2.597499
94.426460	2.600669
94.394730	2.631835
94.394531	2.632028
94.390694	2.635789
94.388443	2.637991
94.386391	2.640000
94.359375	2.668763
94.357361	2.670907
94.330078	2.699967
94.327164	2.703083
94.324417	2.706025
94.324219	2.706233
94.311340	2.720000
94.292320	2.741141
94.289062	2.744762
94.271347	2.764464
94.260826	2.776257
94.253906	2.784015
94.239647	2.800000
94.229347	2.811371
94.218750	2.823072
94.211349	2.831245
94.197617	2.846485
94.183594	2.862055
94.167427	2.880000
94.166008	2.881597
94.149261	2.900455
94.148438	2.901384
94.134850	2.916708
94.113281	2.941022
94.103706	2.951818
94.096451	2.960000
94.085709	2.972613
94.078125	2.981430
94.073402	2.986927
94.044785	3.020223
94.043228	3.022035
94.042969	3.022334
94.027786	3.040000
94.017326	3.052672
94.013626	3.057142
94.007812	3.064176
93.984596	3.092248
93.972656	3.106686
93.961647	3.120000
93.955841	3.127352
93.937500	3.150591
93.928131	3.162456
93.919655	3.173197
93.902344	3.195149
93.900444	3.197558
93.898514	3.200000
93.895370	3.204517
93.887619	3.215655
93.876015	3.232659
93.867188	3.245601
93.852074	3.267758
93.843719	3.280000
93.832031	3.298583
93.829346	3.302857
93.824799	3.310079
